"date","offer_type","champions_league","cinema_and_series","documentary","hbo","children","internet_4g","internet_fiber","liga","movistar_tv","netflix","rakuten_tv","company_name","fixed_to_fixed_calls_minutes","fixed_to_fixed_calls_text","fixed_to_mobile_calls_minutes","fixed_to_mobile_calls_text","internet_download_speed_mb","internet_text","internet_upload_speed_mb","lines_included","mobile_additional_line","mobile_additional_line_fee","mobile_additional_line_text","mobile_download_capacity","mobile_download_capacity_unit","mobile_download_text","mobile_minutes","mobile_minutes_text","network","permanence_months","price_final_annual","price_final_monthly","price_promotional","price_promotional_months","price_text","product_name","promo","roaming","tv_channel_text","tv_channels_number"
"2021-02-08",internet,false,false,false,false,false,false,true,false,false,false,false,finetwork,,,,,100,"100Mb Fibra Óptica",100,,0,,,0.0,GB,,,,Vodafone,12,250.8,20.9,,0,,Fibra 100Mb,,,,
"2021-02-08",internet,false,false,false,false,false,false,false,false,false,false,false,excom,,,,,12,"12Mb de descarga",1,,0,,,9999.0,MB,,,,,18,290.4,24.2,,0,,Tarifa Excom con tecnología Wimax 12Mb,La tecnólogía Wimax ofrece banda ancha en zonas rurales donde otros no llegan Alta gratis con 18 meses de permanencia,,,
"2021-02-08",internet,false,false,false,false,false,false,true,false,false,false,false,finetwork,,,,,300,"300Mb Fibra Óptica",300,,0,,,0.0,GB,,,,Vodafone,12,298.8,24.9,,0,,Fibra 300Mb,,,,
"2021-02-08",internet,false,false,false,false,false,false,true,false,false,false,false,simyo,,,,,100,"100Mb Fibra Óptica",100,,0,,,0.0,GB,,,,Orange,0,311.88,25.99,,0,,Fibra 100Mb,,,,
"2021-02-08",internet,false,false,false,false,false,false,true,false,false,false,false,olephone,,,,,100,"100Mb Fibra Óptica",100,,0,,,0.0,GB,,,,Vodafone,12,336.0,28.0,,0,Internet en tu casa con la máxima velocidad y sin interrupciones,Fibra 100Mb,,,,
"2021-02-08",internet,false,false,false,false,false,false,true,false,false,false,false,pepephone,,,,,300,"300Mb Fibra Óptica",300,,0,,,0.0,MB,,,,MásMóvil,0,348.0,29.0,,0,Sin promociones limitadas en el tiempo,La Fibra de 300Mb (oferta exclusiva para ya clientes con línea móvil),,,,
"2021-02-08",internet,false,false,false,false,false,true,false,false,false,false,false,excom,,,,,15,"15Mb de descarga",1,,0,,,9999.0,MB,"4G LTE 15Mb",,,,18,358.8,29.9,,0,,Tarifa Excom con tecnología 4G 15Mb,Nuestra servicio 4GLTE es un sistema de internet que funciona por antena bajo la tecnología LTE más comunmente conocida como 4G+ Alta gratis con 18 meses de permanencia,,,
"2021-02-08",internet,false,false,false,false,false,false,true,false,false,false,false,finetwork,,,,,600,"600Mb Fibra Óptica",600,,0,,,0.0,GB,,,,Vodafone,12,358.8,29.9,,0,,Fibre 600Mb,,,,
"2021-02-08",internet,false,false,false,false,false,false,true,false,false,false,false,lowi,,,,,100,"100Mb Fibra Óptica",100,,0,,,0.0,GB,,,,Vodafone,3,359.4,29.95,,0,La fibra más barata,Fibra 100Mb (Cuota de línea incluida),,,,
"2021-02-08",internet,false,false,false,false,false,false,true,false,false,false,false,excom,,,,,100,"100Mb Fibra Óptica",100,,0,,,0.0,GB,,,,,12,359.88,29.99,,0,,Internet 100Mb Fibra Óptica,Ahórrate hasta el 100% del alta e instalación La tarifa que necesitas. Disfruta desde ya Internet Excom vía Fibra Óptica.,,,
"2021-02-08",internet,false,false,false,false,false,false,true,false,false,false,false,simyo,,,,,100,"100Mb Fibra Óptica",100,,0,,,0.0,GB,,,,Orange,0,371.88,30.99,,0,,Fibra 300Mb,,,,
"2021-02-08",internet,false,false,false,false,false,false,true,false,false,false,false,virgintelco,,,,,300,"300Mb Fibra Óptica",300,,0,,,0.0,GB,,,,Orange,12,396.0,33.0,,0,,Fibra 300 Mb,"Tu eliges 12 meses de permanencia o 90€ junto a la primera factura. ¡Además puedes incluir Netflix Fan durante 6 meses gratis, después 8€/mes!",,,
"2021-02-08",internet,false,false,false,false,false,false,true,false,false,false,false,olephone,,,,,300,"300Mb Fibra Óptica",300,,0,,,0.0,GB,,,,Vodafone,12,396.0,33.0,,0,Internet en tu casa con la máxima velocidad y sin interrupciones,Fibra 300Mb,,,,
"2021-02-08",internet,false,false,false,false,false,false,true,false,false,false,false,virgintelco,,,,,600,"600Mb Fibra Óptica",600,,0,,,0.0,GB,,,,Orange,12,468.0,39.0,,0,,Fibra 600 Mb,"Tu eliges 12 meses de permanencia o 90€ junto a la primera factura. ¡Además puedes incluir Netflix Fan durante 6 meses gratis, después 8€/mes!",,,
"2021-02-08",internet,false,false,false,false,false,false,true,false,false,false,false,olephone,,,,,600,"600Mb Fibra Óptica",600,,0,,,0.0,GB,,,,Vodafone,12,468.0,39.0,,0,Internet en tu casa con la máxima velocidad y sin interrupciones,Fibra 600Mb,,,,
"2021-02-08",internet,false,false,false,false,false,true,false,false,false,false,false,orange,,,,,50,Wifi 4G con 110GB de descarga,50,,0,,,110.0,GB,"Si superas 110 GB, la velocidad para estos servicios se reducirá a 64 Kbps, pero en ningún caso se te cobrará un coste adicional.",,,Orange,12,419.46,39.95,19.97,3,,"4G en casa (Altas nuevas)","Sin instalación de teléfono fijo. Router Wifi 4G en cesión, en caso de baja tendrás que devolver el Router. Además si eres cliente Go, Habla o Mi Fijo, 10€ de descuento.",,,
"2021-02-08",internet,false,false,false,false,false,false,true,false,false,false,false,excom,,,,,600,"600Mb Fibra Óptica",600,,0,,,0.0,GB,,,,,12,599.88,49.99,,0,,Internet 600Mb Fibra Óptica,Ahórrate hasta el 100% del alta e instalación La tarifa que necesitas. Disfruta desde ya Internet Excom vía Fibra Óptica.,,,
"2021-02-08",internet+fijo,false,false,false,false,false,false,true,false,false,false,false,finetwork,0.0,No dispone de Teléfono Fijo,0.0,No dispone de Teléfono Fijo,100,"100Mb Fibra Óptica",100,,0,,,,,,,,Vodafone,12,250.8,20.9,,0,,Fibra 100Mb sin fijo,,,,
"2021-02-08",internet+fijo,false,false,false,false,false,false,true,false,false,false,false,finetwork,0.0,No dispone de Teléfono Fijo,0.0,No dispone de Teléfono Fijo,300,"300Mb Fibra Óptica",300,,0,,,,,,,,Vodafone,12,298.8,24.9,,0,,Fibra 300Mb sin fijo,,,,
"2021-02-08",internet+fijo,false,false,false,false,false,false,true,false,false,false,false,jazztel,0.0,"0,1 €/min a fijo y 0,24€/min a móvil + 25 cént estbl. llamada",0.0,"0,1 €/min a fijo y 0,24€/min a móvil + 25 cént estbl. llamada",100,"100Mb Fibra Óptica",100,,0,,,,,,,,Jazztel y Orange,12,347.4,28.95,,0,"Precio durante 12 meses. Después 43,95€/mes",Fibra 100Mb,"Añade Cine y Series por 14,95€/mes. Añade llamadas ilimitadas por 5€/mes. ",,,
